Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
8_8,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment with sea view)",5 sao trên 5,"Vĩnh Hải, Nha Trang, Việt Nam",7.0,6.0,6.5,8.045620437956204,7.701666666666666,7.6,8.299999999999999
8_9,"Chung cư 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Family Sea View + Free Pool at Panorama Nha Trang )",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",6.9,9.0,8.0,8.045620437956204,7.701666666666666,7.0,8.299999999999999
8_10,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Angela Serviced Apartment (near Airport Cam Ranh))",5 sao trên 5,"The Arena Cam Ranh, Cam Nghia, Cam Ranh, Khanh Hoa, Viet Nam, Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.6,9.0,9.0,8.0,8.0,9.0,8.299999999999999
8_11,"Nhà riêng 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Cozy Sea View - Family 2 Bedroom)",,"Vĩnh Phước, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_12,"Biệt thự 300 m² 2 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Rooftop pool villa by the bay)",4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_13,"Biệt thự 29 m² 1 phòng ngủ, 1 phòng tắm riêng ở Cam Hải Đông (Mountains View- H2B Homestay)",4.5 sao trên 5,"Cam Hải Đông, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_14,Căn hộ studio 37 m² có 0 phòng tắm riêng ở Lộc Thọ (Panorama Nha Trang With Pretty View),4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",2.0,2.0,2.0,2.0,2.0,2.0,8.299999999999999
8_15,Khách sạn Nhi Phi (Nhi Phi Hotel Nha Trang),3.5 sao trên 5,"10 Biệt Thự, Lộc Thọ, Nha Trang, Việt Nam",7.9,8.6,7.8,7.8,7.4,8.0,7.9
8_16,"Nhà riêng 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Amazing Suite Ocean View w/ Balcony, Gym, Pool )",4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",10.0,10.0,10.0,8.045620437956204,7.701666666666666,10.0,8.299999999999999
8_17,December Hotel,5 sao trên 5,"Nguyen Thien Thuat, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.2,9.0,9.6,9.5,9.3,9.5,8.299999999999999
